indx,low_human_imp,ag_dens_fz,rd_dens_fz
129.0,0.3959642807993333,1.0,0.3959642807993333
130.0,-0.039868078226666714,1.0,-0.039868078226666714
131.0,-0.6254811218266667,1.0,-0.6254811218266667
132.0,-0.06496717314000011,0.997667483714824,-0.06496717314000011
133.0,-1.0,-1.0,0.1400424557733334
134.0,-1.0,-1.0,0.21614174685999998
135.0,-1.0,-1.0,1.0
136.0,0.13069141193333333,1.0,0.13069141193333333
137.0,0.1916642406200001,1.0,0.1916642406200001
138.0,1.0,1.0,1.0
139.0,-0.6532831191733333,0.98752057471376,-0.6532831191733333
140.0,-1.0,-1.0,0.13375099717999994
141.0,-1.0,-1.0,0.30006335322
142.0,-1.0,-1.0,1.0
143.0,-1.0,0.99251082301556,-1.0
144.0,-0.477125,-0.477125,0.23531536625333338
145.0,-1.0,-1.0,0.3211724450800001
146.0,-1.0,-1.0,-0.30776346536666677
147.0,1.0,1.0,1.0
148.0,-0.04029090799333335,0.976064428878,-0.04029090799333335
149.0,-1.0,-1.0,0.2498590406333333
150.0,-1.0,-1.0,0.2750761809800001
151.0,-1.0,-1.0,-0.09625064944666661
152.0,-0.29468032001333344,1.0,-0.29468032001333344
153.0,-0.3943089093680001,-0.3943089093680001,-0.052556623513333234
154.0,-1.0,-1.0,0.3342385535453333
155.0,-1.0,-1.0,-0.31529011139999996
156.0,1.0,1.0,1.0
157.0,0.31993818976666677,0.96835147985356,0.31993818976666677
158.0,-0.11217499999999991,-0.11217499999999991,0.1139633896533333
159.0,-1.0,-1.0,-0.8338219186266667
160.0,-0.19673873510666673,0.30473263500000003,-0.19673873510666673
161.0,0.23728226961999999,1.0,0.23728226961999999
162.0,0.2226622432066666,0.9154939466,0.2226622432066666
163.0,-1.0,-1.0,-0.07643084106666653
164.0,-1.0,0.04682895972799994,-1.0
165.0,-0.8370460549000001,0.795923879728,-0.8370460549000001
166.0,-1.0,-1.0,-0.024550360159999896
