,rd_dens,ag_dens,ivs_dens,av_veg_dep,Shape_Leng,Shape_Area,geometry,indx
0,1.37592212677,0.396404792296,57.8354591959,64.6229508197,12011.9985681,4540812.91393,"POLYGON ((716973.1052999999 3676678.557800001, 716932.8186999997 3676717.845699999, 716656.8563999999 3677043.2675, 716662.3644000003 3676808.8484, 716579.6200999999 3676721.855900001, 716589.6277999999 3676297.0922, 716506.9392999997 3676210.0977, 716512.8696999997 3675955.3522, 716430.1996999998 3675868.0787, 716452.1207999997 3674933.813999999, 715943.9413999999 3674921.317500001, 715857.2597000003 3675004.312899999, 715772.4979999997 3675002.079, 715599.1255999999 3675167.8188, 715597.1153999995 3675252.855900001, 715510.4321999997 3675335.8226, 715502.4331 3675675.5791, 715415.7428000001 3675758.350500001, 715413.7581000002 3675843.330600001, 715496.4458999997 3675930.353499999, 715490.5137999998 3676185.125299999, 715573.2000000002 3676272.092499999, 715567.1845000004 3676526.8664, 715649.9540999997 3676613.830600001, 715645.9585999995 3676783.845699999, 715728.6470999997 3676870.868100001, 715724.5950999996 3677040.857000001, 715807.3662 3677127.8487, 715795.3885000004 3677637.3621, 715878.0767000001 3677724.3563, 715876.148 3677809.3607, 715789.3986 3677892.1039, 715785.4577000001 3678062.1151, 715698.7079999996 3678144.857799999, 715696.6957 3678229.864600001, 715263.2405000003 3678644.1206, 715261.2554000001 3678729.125700001, 715174.5407999996 3678812.116, 715171.9842999997 3678921.317500001, 716973.1052999999 3678921.317500001, 716973.1052999999 3676678.557800001))",0
1,1.04108636217,0.0,85.8948909735,63.1334773624,12220.8886571,9748658.97738,"POLYGON ((716973.1052999999 3676678.557800001, 716973.1052999999 3678921.317500001, 720007.6715000002 3678921.317500001, 719992.7523999996 3678681.952299999, 720024.0436000004 3678233.9276, 720013.8514999999 3677786.368000001, 719969.7505000001 3677339.0156, 719934.6124 3676891.411699999, 719920.4282999998 3676442.5075, 719984.9926000005 3675556.0769, 719583.1074999999 3675334.8662, 719140.5285999998 3675273.3522, 718685.3219999997 3675337.524, 718256.767 3675489.0384, 717934.7183999997 3675803.383300001, 717599.3069000002 3676107.857899999, 717256.307 3676402.376800001, 716973.1052999999 3676678.557800001))",1
2,2.29819816678,11.1880015946,75.2591319865,74.2667483275,14366.5852204,10216301.7259,"POLYGON ((716973.1052999999 3678921.317500001, 715171.9842999997 3678921.317500001, 715168.5766000003 3679066.8806, 715081.8806999996 3679149.619200001, 715061.9226000002 3679999.109099999, 714975.1710000001 3680081.8761, 714969.2602000004 3680336.635, 714795.8179000001 3680502.360200001, 714793.8039999995 3680587.364399999, 714707.1155000003 3680670.3784, 714705.1205000002 3680755.1313, 714531.7611999996 3680920.8796, 714529.7478 3681005.9111, 714356.3590000002 3681171.6313, 714354.3721000003 3681256.6339, 714180.9480999997 3681422.159399999, 714179.0155999996 3681507.1318, 714092.2423999999 3681590.146600001, 714090.3021 3681674.896500001, 713743.4939000001 3682006.386700001, 713741.4784000004 3682091.389, 713568.1436000001 3682257.1579, 713566.1267999997 3682342.132200001, 713479.4271 3682424.892000001, 713477.4390000002 3682509.892999999, 713390.7111999998 3682592.6534, 713388.7506999997 3682677.6533, 713301.9949000003 3682760.4143, 713300.0619999999 3682845.413000001, 713220.7377000004 3682921.317500001, 716973.1052999999 3682921.317500001, 716973.1052999999 3678921.317500001))",2
3,1.08092011969,0.0,40.6066200901,68.613582294,14801.21082,12766391.2645,"POLYGON ((720007.6715000002 3678921.317500001, 716973.1052999999 3678921.317500001, 716973.1052999999 3682921.317500001, 720640.7043000003 3682921.317500001, 720531.8366 3682645.406099999, 720365.2435999997 3682227.672700001, 720188.8333000001 3681812.024900001, 720102.7632999998 3681374.4375, 720075.8153999997 3680924.9033, 720063.1683999998 3680476.076300001, 720047.3613999998 3680027.4663, 720036.5208000001 3679578.7129, 720020.6843999997 3679130.0998, 720007.6715000002 3678921.317500001))",3
4,1.51213512208,17.9477136842,81.4865218033,88.7675996607,10176.9777065,4613400.9856,"POLYGON ((712973.1052999999 3683490.067299999, 712858.5806 3683599.399499999, 712856.5636999998 3683684.399900001, 712769.8705000002 3683767.407199999, 712767.8726000004 3683852.156500001, 712681.2067999998 3683935.1624, 712679.1896000002 3684020.1625, 712505.8395999996 3684185.645500001, 712503.8230999997 3684270.6732, 712330.4252000004 3684436.407, 712328.4621000001 3684521.376800001, 712241.6758000003 3684604.1349, 712157 3684602.1686, 711896.9254000001 3684850.653999999, 711812.193 3684848.6613, 711638.7932000002 3685014.3917, 711554.1173 3685012.4246, 711467.4411000004 3685095.177200001, 711465.4501 3685180.174900001, 711118.6401000004 3685511.4087, 711116.6209000004 3685596.4067, 711029.9244999997 3685679.409, 711027.9522000002 3685764.1548, 710941.2555 3685847.1569, 710937.2643999998 3686016.9279, 710850.5674000001 3686099.929300001, 710848.5477999998 3686184.9267, 710761.8696999997 3686267.6768, 710746.5493999999 3686921.317500001, 712973.1052999999 3686921.317500001, 712973.1052999999 3683490.067299999))",4
5,2.68209668261,2.78122415785,85.1325931243,83.6948453608,15854.8918947,15921046.8078,"POLYGON ((716973.1052999999 3682921.317500001, 713220.7377000004 3682921.317500001, 713213.3413000004 3682928.395, 713211.3720000004 3683013.144400001, 713124.6242000004 3683096.1548, 713120.6660000002 3683265.904100001, 713033.9456000002 3683348.9131, 713031.9556999998 3683433.885199999, 712973.1052999999 3683490.067299999, 712973.1052999999 3686921.317500001, 716973.1052999999 3686921.317500001, 716973.1052999999 3682921.317500001))",5
6,1.20017833619,0.357475805946,39.1634605181,71.6711790905,15731.9332661,15861213.2785,"POLYGON ((720973.1052999999 3683748.1724, 720862.9183 3683481.831, 720696.9249 3683063.8015, 720640.7043000003 3682921.317500001, 716973.1052999999 3682921.317500001, 716973.1052999999 3686921.317500001, 720973.1052999999 3686921.317500001, 720973.1052999999 3683748.1724))",6
7,1.12003021437,0.0,27.1859956324,65.0994061451,9731.90952932,3485985.99373,"POLYGON ((720973.1052999999 3683748.1724, 720973.1052999999 3686921.317500001, 723458.8048 3686921.317500001, 723258.8158999998 3686696.443299999, 722972.8504999997 3686347.0221, 722675.9995999997 3686006.678300001, 722360.8285999997 3685683.0931, 722024.2899000002 3685380.5986, 721691.3524000002 3685071.999500001, 721433.6831999999 3684706.392899999, 721228.7357000001 3684303.770300001, 721034.8886000002 3683897.513599999, 720973.1052999999 3683748.1724))",7
8,2.28382998858,11.2510737957,90.7902439134,88.0884978322,11820.7624916,7599274.66059,"POLYGON ((712973.1052999999 3686921.317500001, 710746.5493999999 3686921.317500001, 710741.9590999996 3687117.1625, 710655.2531000003 3687199.9399, 710651.2670999998 3687369.902799999, 710733.9539000001 3687456.922599999, 710722.0104999999 3687966.446900001, 710804.6957999999 3688053.410800001, 710794.6963999998 3688478.1621, 710877.4392999997 3688565.179400001, 710873.4544000002 3688735.195699999, 710956.1402000003 3688822.1592, 710950.2092000004 3689076.917099999, 711032.9249999998 3689163.935000001, 711028.9027000004 3689333.6734, 711111.5983999996 3689420.9145, 711109.5969000002 3689505.658, 711192.3406999996 3689592.674799999, 711190.3476 3689677.668299999, 711355.7516999999 3689851.6765, 711351.7378000002 3690021.6642, 711517.1694 3690195.643300001, 711515.1486 3690280.637399999, 711680.5826000003 3690454.671700001, 711678.6173999999 3690539.663799999, 711843.9670000002 3690713.645, 711842.0498000002 3690798.412799999, 711958.7894000001 3690921.317500001, 712973.1052999999 3690921.317500001, 712973.1052999999 3686921.317500001))",8
9,2.70926468347,2.998125,86.821875,86.0690272885,16000.0,16000000.0,"POLYGON ((716973.1052999999 3686921.317500001, 712973.1052999999 3686921.317500001, 712973.1052999999 3690921.317500001, 716973.1052999999 3690921.317500001, 716973.1052999999 3686921.317500001))",9
